Link of Listing,Home Type,City,Address,Status,Price,Broker Name
https://www.zillow.com/homedetails/198-Jefferson-St-Brooklyn-NY-11206/2057541094_zpid/,MULTI_FAMILY,Brooklyn,"198 Jefferson St, Brooklyn, NY 11206",For Sale by Agent,"$950,000",Level Group
https://www.zillow.com/homedetails/921-E-98th-St-Brooklyn-NY-11236/30773449_zpid/,SINGLE_FAMILY,Brooklyn,"921 E 98th St, Brooklyn, NY 11236",For Sale by Agent,"$799,000",Keystone Realty USA Corp
https://www.zillow.com/homedetails/253-E-7th-St-MF-Brooklyn-NY-11218/2053518119_zpid/,MULTI_FAMILY,Brooklyn,"253 E 7th St #MF, Brooklyn, NY 11218",For Sale by Agent,"$1,999,000",Compass
https://www.zillow.com/homedetails/1278-E-56th-St-Brooklyn-NY-11234/30762550_zpid/,MULTI_FAMILY,Brooklyn,"1278 E 56th St, Brooklyn, NY 11234",For Sale by Agent,"$799,999",Budget Real Estate NYC Inc
https://www.zillow.com/homedetails/1527-McDonald-Ave-Brooklyn-NY-11230/30717871_zpid/,MULTI_FAMILY,Brooklyn,"1527 McDonald Ave, Brooklyn, NY 11230",For Sale by Agent,"$1,200,000",Momentum Real Estate LLC
https://www.zillow.com/homedetails/405-Kosciuszko-St-123-Brooklyn-NY-11221/2055029904_zpid/,MULTI_FAMILY,Brooklyn,"405 Kosciuszko St #123, Brooklyn, NY 11221",For Sale by Agent,"$1,599,999",Compass
https://www.zillow.com/homedetails/3724-Flatlands-Ave-Brooklyn-NY-11234/2107208912_zpid/,MULTI_FAMILY,Brooklyn,"3724 Flatlands Ave, Brooklyn, NY 11234",For Sale by Agent,"$998,000",Remax Edge
https://www.zillow.com/homedetails/224-Grant-Ave-Brooklyn-NY-11208/30643044_zpid/,MULTI_FAMILY,Brooklyn,"224 Grant Ave, Brooklyn, NY 11208",For Sale by Agent,"$1,495,000",Keystone Realty USA Corp
https://www.zillow.com/homedetails/8200-Narrows-Ave-Brooklyn-NY-11209/2055498508_zpid/,TOWNHOUSE,Brooklyn,"8200 Narrows Ave, Brooklyn, NY 11209",For Sale by Agent,"$8,750,000",Brown Harris Stevens
https://www.zillow.com/homedetails/360-Hancock-St-Brooklyn-NY-11216/30610534_zpid/,MULTI_FAMILY,Brooklyn,"360 Hancock St, Brooklyn, NY 11216",For Sale by Agent,"$2,999,000",SERHANT.
https://www.zillow.com/homedetails/4208-Sea-Gate-Ave-Brooklyn-NY-11224/30732502_zpid/,SINGLE_FAMILY,Brooklyn,"4208 Sea Gate Ave, Brooklyn, NY 11224",For Sale by Agent,"$705,000",EXP Realty NYC
https://www.zillow.com/homedetails/284-Sullivan-Pl-Brooklyn-NY-11225/30594729_zpid/,SINGLE_FAMILY,Brooklyn,"284 Sullivan Pl, Brooklyn, NY 11225",For Sale by Agent,"$1,149,000",Remax Real Estate Professionals
https://www.zillow.com/homedetails/2660-Mill-Ave-Brooklyn-NY-11234/30788667_zpid/,SINGLE_FAMILY,Brooklyn,"2660 Mill Ave, Brooklyn, NY 11234",For Sale by Agent,"$800,000",Superior Realty Service
https://www.zillow.com/homedetails/976-Ocean-Ave-Brooklyn-NY-11226/30669045_zpid/,SINGLE_FAMILY,Brooklyn,"976 Ocean Ave, Brooklyn, NY 11226",For Sale by Agent,"$1,848,000",Ben Bay Realty Co
https://www.zillow.com/homedetails/466-Henry-St-Brooklyn-NY-11231/30569120_zpid/,MULTI_FAMILY,Brooklyn,"466 Henry St, Brooklyn, NY 11231",For Sale by Agent,"$3,995,000",Compass
