Link of Listing,Home Type,Address,Status,Price,Broker Name
https://www.zillow.com/homedetails/3098-Nostrand-Ave-Brooklyn-NY-11229/30727981_zpid/,SINGLE_FAMILY,"3098 Nostrand Ave, Brooklyn, NY 11229",For Sale by Agent,"$799,000 ",Momentum Real Estate LLC
https://www.zillow.com/homedetails/972-E-32nd-St-Brooklyn-NY-11210/30751797_zpid/,SINGLE_FAMILY,"972 E 32nd St, Brooklyn, NY 11210",For Sale by Agent,"$1,286,000 ",Qwest Property Group
https://www.zillow.com/homedetails/464-1st-St-Brooklyn-NY-11215/30587256_zpid/,TOWNHOUSE,"464 1st St, Brooklyn, NY 11215",For Sale by Agent,"$4,995,000 ",Corcoran
https://www.zillow.com/homedetails/1861-82nd-St-Brooklyn-NY-11214/30709575_zpid/,MULTI_FAMILY,"1861 82nd St, Brooklyn, NY 11214",For Sale by Agent,"$1,099,000 ",Compass
https://www.zillow.com/homedetails/658-E-31st-St-Brooklyn-NY-11210/30663831_zpid/,MULTI_FAMILY,"658 E 31st St, Brooklyn, NY 11210",For Sale by Agent,"$975,000 ","WorldWide Homes, Inc."
https://www.zillow.com/homedetails/342-Thomas-S-Boyland-St-Brooklyn-NY-11233/79714966_zpid/,MULTI_FAMILY,"342 Thomas S Boyland St, Brooklyn, NY 11233",For Sale by Agent,"$1,249,000 ",Corcoran
https://www.zillow.com/homedetails/1161-E-38th-St-Brooklyn-NY-11210/30760385_zpid/,MULTI_FAMILY,"1161 E 38th St, Brooklyn, NY 11210",For Sale by Agent,"$1,295,000 ",Keystone Realty USA Corp
https://www.zillow.com/homedetails/380-Saint-Johns-Pl-8-Brooklyn-NY-11238/2053347725_zpid/,MULTI_FAMILY,"380 Saint John's Pl. UNIT 8, Prospect Heights, NY 11238",For Sale by Agent,"$3,800,000 ",EXP Realty
https://www.zillow.com/homedetails/551-E-52nd-St-Brooklyn-NY-11203/30654931_zpid/,SINGLE_FAMILY,"551 E 52nd St, Brooklyn, NY 11203",For Sale by Agent,"$475,000 ",Serendipity Estates LLC
https://www.zillow.com/homedetails/535-Pacific-St-Brooklyn-NY-11217/338704773_zpid/,TOWNHOUSE,"535 Pacific St, Brooklyn, NY 11217",For Sale by Agent,"$9,995,000 ",Compass
https://www.zillow.com/homedetails/737-Glenmore-Ave-Brooklyn-NY-11208/30638745_zpid/,MULTI_FAMILY,"737 Glenmore Ave, Brooklyn, NY 11208",For Sale by Agent,"$899,000 ",Keystone Realty USA Corp
https://www.zillow.com/homedetails/1520-Putnam-Ave-Brooklyn-NY-11237/30628573_zpid/,MULTI_FAMILY,"1520 Putnam Ave, Brooklyn, NY 11237",For Sale by Agent,"$1,499,000 ",The Agency
https://www.zillow.com/homedetails/271-E-38th-St-Brooklyn-NY-11203/30659687_zpid/,SINGLE_FAMILY,"271 E 38th St, Brooklyn, NY 11203",For Sale by Agent,"$650,000 ",K Fortuna Realty Inc. Wf
https://www.zillow.com/homedetails/1247-Ryder-St-Brooklyn-NY-11234/30761737_zpid/,MULTI_FAMILY,"1247 Ryder St, Brooklyn, NY 11234",For Sale by Agent,"$1,235,000 ",Ian Homes
